Classes_Dep_Var,Num_Categorical_Vars,Classes_Ind_Vars,Sample_Size,ANN,DecisionTree,LogisticRegression,RandomForest
2,4,3,10000,0.1303333333333333,0.157,0.1283333333333333,0.1939999999999999
3,1,2,100,0.3666666666666667,0.4333333333333333,0.5,0.4666666666666667
3,1,2,500,0.3199999999999999,0.4,0.3533333333333334,0.4266666666666666
3,1,2,1000,0.3233333333333333,0.4166666666666666,0.3199999999999999,0.4399999999999999
3,1,2,10000,0.3133333333333333,0.375,0.3163333333333333,0.3923333333333333
3,1,3,100,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4333333333333333
3,1,3,500,0.3466666666666667,0.4133333333333333,0.3733333333333333,0.4133333333333333
3,1,3,1000,0.3133333333333333,0.4266666666666666,0.31,0.41
3,1,3,10000,0.296,0.366,0.2933333333333333,0.396
3,2,2,100,0.3666666666666667,0.4,0.4333333333333333,0.3666666666666667
3,2,2,500,0.26,0.4266666666666666,0.2866666666666666,0.4
3,2,2,1000,0.28,0.41,0.2833333333333333,0.4233333333333333
3,2,2,10000,0.31,0.368,0.3076666666666666,0.3686666666666667
3,2,3,100,0.2666666666666667,0.3333333333333333,0.1666666666666666,0.3
3,2,3,500,0.2866666666666666,0.4066666666666666,0.2733333333333333,0.3733333333333333
3,2,3,1000,0.2733333333333333,0.43,0.28,0.4266666666666666
3,2,3,10000,0.2656666666666667,0.345,0.263,0.3873333333333333
3,3,2,100,0.2333333333333332,0.3333333333333333,0.2333333333333332,0.4
3,3,2,500,0.2333333333333332,0.4333333333333333,0.26,0.3533333333333334
3,3,2,1000,0.3066666666666666,0.3366666666666666,0.2866666666666666,0.3333333333333333
3,3,2,10000,0.253,0.293,0.265,0.3043333333333333
3,3,3,100,0.4,0.4666666666666667,0.3666666666666667,0.4
3,3,3,500,0.26,0.3399999999999999,0.2466666666666667,0.3666666666666667
3,3,3,1000,0.2333333333333332,0.3333333333333333,0.2433333333333333,0.3866666666666667
3,3,3,10000,0.2329999999999999,0.2753333333333333,0.2256666666666666,0.3253333333333333
3,4,2,100,0.2333333333333332,0.3666666666666667,0.2333333333333332,0.3666666666666667
3,4,2,500,0.2866666666666666,0.3733333333333333,0.3133333333333333,0.3333333333333333
3,4,2,1000,0.2366666666666667,0.3033333333333333,0.2333333333333332,0.3466666666666667
3,4,2,10000,0.2523333333333333,0.2646666666666667,0.2503333333333333,0.3169999999999999
3,4,3,100,0.4666666666666667,0.4,0.2666666666666667,0.4
3,4,3,500,0.2199999999999999,0.3,0.2066666666666666,0.3733333333333333
3,4,3,1000,0.1933333333333333,0.2466666666666667,0.1833333333333333,0.3033333333333333
3,4,3,10000,0.1893333333333333,0.2423333333333333,0.1873333333333333,0.287
4,1,2,100,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.4666666666666667
4,1,2,500,0.4866666666666667,0.52,0.52,0.5333333333333333
4,1,2,1000,0.4533333333333333,0.5433333333333333,0.4866666666666667,0.5233333333333333
4,1,2,10000,0.4356666666666666,0.5306666666666666,0.4536666666666666,0.5316666666666667
4,1,3,100,0.3666666666666667,0.4666666666666667,0.3666666666666667,0.4666666666666667
4,1,3,500,0.4466666666666666,0.6066666666666667,0.4733333333333334,0.5466666666666666
4,1,3,1000,0.41,0.5566666666666666,0.4366666666666666,0.54
4,1,3,10000,0.4403333333333333,0.517,0.4516666666666666,0.526
4,2,2,100,0.4,0.5333333333333333,0.4,0.5666666666666667
4,2,2,500,0.4599999999999999,0.52,0.4733333333333334,0.5266666666666666
4,2,2,1000,0.4566666666666666,0.5666666666666667,0.4833333333333333,0.5233333333333333
4,2,2,10000,0.4459999999999999,0.5156666666666667,0.4776666666666667,0.525
4,2,3,100,0.4666666666666667,0.4666666666666667,0.4,0.5
4,2,3,500,0.38,0.54,0.3933333333333333,0.48
4,2,3,1000,0.4033333333333333,0.5566666666666666,0.4466666666666666,0.5233333333333333
4,2,3,10000,0.422,0.5093333333333334,0.4419999999999999,0.516
4,3,2,100,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.4333333333333333
4,3,2,500,0.4266666666666666,0.5066666666666666,0.4466666666666666,0.5
4,3,2,1000,0.3833333333333333,0.4766666666666667,0.4366666666666666,0.4866666666666667
4,3,2,10000,0.4083333333333333,0.4526666666666666,0.4386666666666666,0.514
4,3,3,100,0.3,0.4,0.4333333333333333,0.4333333333333333
4,3,3,500,0.3866666666666667,0.4866666666666667,0.42,0.5133333333333333
4,3,3,1000,0.3733333333333333,0.4566666666666666,0.3733333333333333,0.4866666666666667
4,3,3,10000,0.3563333333333333,0.4333333333333333,0.371,0.4916666666666667
4,4,2,100,0.4,0.5,0.3333333333333333,0.4
4,4,2,500,0.36,0.4866666666666667,0.4266666666666666,0.5066666666666666
4,4,2,1000,0.3933333333333333,0.4433333333333333,0.4066666666666666,0.4733333333333334
4,4,2,10000,0.3646666666666667,0.3903333333333333,0.3936666666666667,0.473
4,4,3,100,0.4333333333333333,0.4333333333333333,0.3,0.3333333333333333
4,4,3,500,0.3,0.4399999999999999,0.3533333333333334,0.4666666666666667
4,4,3,1000,0.3433333333333334,0.43,0.4,0.47
4,4,3,10000,0.311,0.3766666666666667,0.3436666666666667,0.487
