Iteration,Classes_Dep_Var,Num_Ind_Vars,Num_Categorical_Vars,Classes_Ind_Vars,Sample_Size,Model,Hyperparameter_1,Hyperparameter_2,Hyperparameter_3,Misclassification,Accuracy,Precision,Recall,F1_Score
1,2,3,0,2,10000,DecisionTree,entropy,0.1,0.2,0.2316666666666667,0.7683333333333333,0.7687491180800161,0.7683333333333333,0.7682436951447554
1,2,3,0,2,10000,DecisionTree,gini,0.05,0.1,0.2466666666666667,0.7533333333333333,0.7535515003131583,0.7533333333333333,0.7532802611761819
1,2,3,0,2,10000,DecisionTree,gini,0.05,0.2,0.2466666666666667,0.7533333333333333,0.7535515003131583,0.7533333333333333,0.7532802611761819
1,2,3,0,2,10000,DecisionTree,gini,0.1,0.1,0.23733333333333329,0.7626666666666667,0.7626671336304598,0.7626666666666667,0.7626665611851383
1,2,3,0,2,10000,DecisionTree,gini,0.1,0.2,0.23733333333333329,0.7626666666666667,0.7626671336304598,0.7626666666666667,0.7626665611851383
1,2,3,0,2,10000,DecisionTree,f_test,0.05,0.1,0.45733333333333337,0.5426666666666666,0.6798089529874508,0.5426666666666666,0.4349181070580321
1,2,3,0,2,10000,DecisionTree,f_test,0.05,0.2,0.45733333333333337,0.5426666666666666,0.6798089529874508,0.5426666666666666,0.4349181070580321
1,2,3,0,2,10000,DecisionTree,f_test,0.1,0.1,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,10000,DecisionTree,f_test,0.1,0.2,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,10000,RandomForest,entropy,0.05,0.1,0.2376666666666667,0.7623333333333333,0.7625911394787148,0.7623333333333333,0.7622749850491082
1,2,3,0,2,10000,RandomForest,entropy,0.05,0.2,0.2706666666666667,0.7293333333333333,0.7313486370157819,0.7293333333333333,0.7287425949846332
1,2,3,0,2,10000,RandomForest,entropy,0.1,0.1,0.2403333333333333,0.7596666666666667,0.7600690223407858,0.7596666666666667,0.7595736751070054
1,2,3,0,2,10000,RandomForest,entropy,0.1,0.2,0.31100000000000005,0.689,0.6901569146688453,0.689,0.6885262484238527
1,2,3,0,2,10000,RandomForest,gini,0.05,0.1,0.23299999999999998,0.767,0.76700296669963,0.767,0.7669993527759797
1,2,3,0,2,10000,RandomForest,gini,0.05,0.2,0.32566666666666666,0.6743333333333333,0.6744282998521417,0.6743333333333333,0.6742890004472831
1,2,3,0,2,10000,RandomForest,gini,0.1,0.1,0.23533333333333328,0.7646666666666667,0.7656660432846049,0.7646666666666667,0.764445140407601
1,2,3,0,2,10000,RandomForest,gini,0.1,0.2,0.2453333333333333,0.7546666666666667,0.7550479917530032,0.7546666666666667,0.7545749322302248
1,2,3,0,2,10000,RandomForest,f_test,0.05,0.1,0.23099999999999998,0.769,0.7690527343359299,0.769,0.7689886804453417
1,2,3,0,2,10000,RandomForest,f_test,0.05,0.2,0.274,0.726,0.7260787758934669,0.726,0.7259761294761677
1,2,3,0,2,10000,RandomForest,f_test,0.1,0.1,0.33533333333333337,0.6646666666666666,0.6657273215244229,0.6646666666666666,0.6641292735042736
1,2,3,0,2,10000,RandomForest,f_test,0.1,0.2,0.23433333333333328,0.7656666666666667,0.7661361308014002,0.7656666666666667,0.7655632800731789
1,2,3,0,2,10000,ANN,1,3.0,SGD,0.21199999999999997,0.788,0.7969208211143696,0.788,0.7863955935694774
1,2,3,0,2,10000,ANN,1,3.0,Adam,0.22866666666666668,0.7713333333333333,0.7895253018081934,0.7713333333333333,0.7676840105190152
1,2,3,0,2,10000,ANN,1,3.0,RMSprop,0.22933333333333328,0.7706666666666667,0.7898614186360425,0.7706666666666667,0.7668061160067265
1,2,3,0,2,10000,ANN,1,15.0,SGD,0.21533333333333338,0.7846666666666666,0.7941987046989114,0.7846666666666666,0.7829082232751957
1,2,3,0,2,10000,ANN,1,15.0,Adam,0.21733333333333338,0.7826666666666666,0.7947741547953637,0.7826666666666666,0.7804118378226913
1,2,3,0,2,10000,ANN,1,15.0,RMSprop,0.2376666666666667,0.7623333333333333,0.7859407268247524,0.7623333333333333,0.7573244837132282
1,2,3,0,2,10000,ANN,2,3.0,SGD,0.21299999999999997,0.787,0.7951326760204186,0.787,0.7855224642562614
1,2,3,0,2,10000,ANN,2,3.0,Adam,0.21466666666666667,0.7853333333333333,0.7968945386203375,0.7853333333333333,0.7832229850060322
1,2,3,0,2,10000,ANN,2,3.0,RMSprop,0.29866666666666664,0.7013333333333334,0.7780751551818968,0.7013333333333334,0.6792001390132731
1,2,3,0,2,10000,ANN,2,15.0,SGD,0.22799999999999998,0.772,0.7906534954407295,0.772,0.7682822169022991
1,2,3,0,2,10000,ANN,2,15.0,Adam,0.23733333333333329,0.7626666666666667,0.7756884748223186,0.7626666666666667,0.7598306401233049
1,2,3,0,2,10000,ANN,2,15.0,RMSprop,0.23033333333333328,0.7696666666666667,0.7797662274786458,0.7696666666666667,0.7675689766812147
1,2,3,1,2,100,LogisticRegression,logit,,,0.23333333333333328,0.7666666666666667,0.7777777777777779,0.7666666666666667,0.7643097643097643
1,2,3,1,2,100,LogisticRegression,probit,,,0.23333333333333328,0.7666666666666667,0.7777777777777779,0.7666666666666667,0.7643097643097643
1,2,3,1,2,100,DecisionTree,entropy,0.05,0.1,0.33333333333333337,0.6666666666666666,0.6984126984126984,0.6666666666666666,0.6527777777777779
1,2,3,1,2,100,DecisionTree,entropy,0.05,0.2,0.33333333333333337,0.6666666666666666,0.6984126984126984,0.6666666666666666,0.6527777777777779
